Student_Names,Phone_No.,Gender,Study_Hours,Part_Time_Job,Math,Physics,Chemistry,Grade,Comment,Course_Recommendation,CourseCode,ListofCourses,RatingOfCourses
Santanika Sonkar,9906433252,Male,5,No,82,51,36,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",01_CSE,B.E/B.Tech in Computer Science & Engineering ,5
Swaroop Pandey,9724400276,Female,4,Yes,42,46,40,D,Poor Pursuance,Better luck next time,02_CSAI,B.E/B.Tech in Computer Science & Engineering (AI),4.5
Vaijinath Sonkar,9866358126,Male,10,Yes,36,55,48,D,Poor Pursuance,Better luck next time,03_CSDS,B.E/B.Tech in Computer Science & Engineering ( Data Science),5
Roop Lal Kumari,9657626856,Male,8,No,71,67,34,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",04_CSR,B.E/B.Tech in Computer Science & Engineering (Robotics),3
जयराम Maurrya,9804752911,Male,9,Yes,85,92,36,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",05_CSECS,B.E/B.Tech in Computer Science & Engineering (Cyber Security),4.5
Rashid Vishwakarma,9370508784,Female,2,Yes,20,58,97,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",06_CSIOT,B.E/B.Tech in Computer Science & Engineering (IOT ),5
Gotu Rao,9495502267,Male,5,Yes,62,30,44,D,Poor Pursuance,Better luck next time,07_CSBS,B.E/B.Tech in Computer Science and Business System (CSBS),3
Rajen Maurya,9955566268,Male,4,No,92,11,32,D,Poor Pursuance,Better luck next time,08_ESE,B.E/B.Tech in Electronic Engineering,5
Mohon Rai,9646504544,Female,7,Yes,73,71,96,B+,Good Pursuance,Better luck next time,09_ECE,B.E/B.Tech in Electronics and Communication Engineering ,5
Parray Pandey,9121453016,Male,9,Yes,12,60,19,F,Failed,Better luck next time,10_EE,B.E/B.Tech in Electrical Engineering,5
Anshu Kumar Gupta,9436342617,Female,10,No,79,50,70,B,Average Performance,"04_CSR, 24_PROD, 13_CE",11_ME,B.E/B.Tech in Mechanical Engineering,5
Nazneen Rai,9371865537,Female,7,Yes,78,46,19,D,Poor Pursuance,Better luck next time,12_AE,B.E/B.Tech in Aerospace Engineering,2.5
Abodh Divedi,9846924218,Female,4,No,50,39,15,D,Poor Pursuance,Better luck next time,13_CE,B.E/B.Tech in Civil Engineering,3
Bharatsinh Rao,9934518566,Female,9,No,14,21,86,D,Poor Pursuance,Better luck next time,14_AUE,B.E/B.Tech in Automobile Engineering,2.5
Subhendu Devi,9497229234,Female,2,Yes,90,60,53,B,Average Performance,"04_CSR, 24_PROD, 13_CE",15_CHE,B.E/B.Tech in Chemical Engineering,4.5
Baharul Kumari,9798540797,Female,8,No,53,52,65,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",16_BIOE,B.E/B.Tech in Biomedical Engineer,4
Aizaz Mishra,9997856986,Female,5,Yes,94,66,59,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",17_PE,B.E/B.Tech in Petroleum Engineering,2.5
Ashi Pandey,9072509908,Male,5,No,66,23,12,D,Poor Pursuance,Better luck next time,18_MIE,B.E/B.Tech in Mining Engineering,2.5
नीरज Yadav,9975296319,Male,1,No,75,10,79,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",19_MECH,B.E/B.Tech in Mechatronics,3
Maheah Mishra,9648693653,Female,7,No,99,49,94,B+,Good Pursuance,Better luck next time,20_BT,B.E/B.Tech in Biotechnology,2.5
Md Siraj Tiwari,9695684701,Female,2,Yes,53,92,16,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",21_ENE,B.E/B.Tech in Environmental Engineering,3.5
Shivukumar Tiwari,9846194891,Female,2,Yes,81,57,60,B,Average Performance,"04_CSR, 24_PROD, 13_CE",22_EEE,B.E/B.Tech in Electrical and Electronics Engineering,5
Talib Khan Kumar,9681054628,Female,8,No,53,85,24,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",23_AEE,B.E/B.Tech in Aeronautical Engineering,5
Snehlata Srivastav,9545288446,Male,6,Yes,97,70,78,A,Very Good Achivement,"09_ECE, 23_AEE, 26_AGRE",24_PROD,B.E/B.Tech in Production Engineering,3
Dharamvir Rajput,9589232859,Female,7,No,52,65,22,D,Poor Pursuance,Better luck next time,25_FPT,B.E/B.Tech in Food Processing and Technology,5
Lovly Tiwari,9101117557,Female,1,Yes,84,88,85,A,Very Good Achivement,"15_CHE, 16_BIOE, 25_FPT",26_AGRE,B.E/B.Tech in Agricultural Engineering,5
Vaibhav Devi,9464665406,Male,10,Yes,39,82,64,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",27_DTE,B.E/B.Tech in Dairy Technology and Engineering,3.5
Sangita Tiwari,9809349320,Male,2,Yes,59,49,40,D,Poor Pursuance,Better luck next time,28_METE,B.E/B.Tech in Metallurgy Engineering,2
Mariyam Srivastav,9720207632,Female,5,Yes,13,40,58,D,Poor Pursuance,Better luck next time,29_TEXE,B.E/B.Tech in Textile Engineering,2
Md Nasim Seth,9824689037,Female,2,Yes,39,16,87,D,Poor Pursuance,Better luck next time,30_MARE,B.E/B.Tech in Marine Engineering,2.5
Tabrej Devi,9300368051,Female,6,No,51,79,77,B,Average Performance,"04_CSR, 24_PROD, 13_CE",31_POLE,B.E/B.Tech in Polymer Engineering,2
